Lista de Productos,Precios,Descuento,Marca,Supermercado
Arroz Extra Tottus de 5 kg,S/  18.50,,TOTTUS,Tottus
Arroz País Extra 5KG,S/  20.90,,Arroz Extra Tottus de 5 kg,Tottus
Aceite de soya precio uno de 900 mL,S/  7.40,,Por Tottus,Tottus
Fideos Spaghetti Tottus 1 kg,S/  5,7%,PAISANA,Tottus
Trozos de atún en aceite vegetal Campomar de 150 g,S/  6.10,,Arroz País Extra 5KG,Tottus
Mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/  3.50,,Por Tottus,Tottus
Aceite vegetal Primor Premium de 900 mL,S/  10.70,12%,PRECIO UNO,Tottus
Fideos Don Vittorio Spaghetti 950 g,S/  6.80,,Aceite de soya precio uno de 900 mL,Tottus
Trozos de atún en aceite,S/  13.20,,Por Tottus,Tottus
Pack Menestras Tottus: Lenteja 500 Gr + Arveja 500 Gr + Frijol Canario 500 Gr - PACK 3 UN,S/  14.50,,TOTTUS,Tottus
Caja Aceite Vegetal Tottus 900mL 12 Unidades,S/  93.60,16%,Fideos Spaghetti Tottus 1 kg,Tottus
SIX PACK TROZOS DE ATUN EN ACEITE TOTTUS X 170GR,S/  25.90,,Por Tottus,Tottus
Filete de atún en agua y sal de 140 g,S/  6.10,16%,FLORIDA,Tottus
LASAGNA TOTTUS X 250 GR,S/  4.50,,Filete de atún en agua y sal de 140 g,Tottus
Fideo tallarín de 500 g,S/  3.70,7%,Por Tottus,Tottus
Panetón Donofrio En Caja 900 g - Caja 900 g,S/  27.90,13%,TOTTUS,Tottus
MAYONESA ALACENA 850 GR,S/  18.70,,LASAGNA TOTTUS X 250 GR,Tottus
Mezcla para Torta de Chocolate Katzel de 510 g,S/  14.50,,Por Tottus,Tottus
Pre-mezcla de panqueques con chispas de sabor a chocolate,S/  6.90,,MOLITALIA,Tottus
Filetes de Atún Tottus en Agua 170 g,S/  4.60,,Fideo tallarín de 500 g,Tottus
Duraznos Tottus en mitades 820 g,S/  8.40,27%,Por Tottus,Tottus
Caja de 6 Panetones Donofrio en bolsa 900 g,S/  174,,D'ONOFRIO,Tottus
SYRUP HERSHEYS CHOCOLATE X 680 GR,S/  20.90,,Panetón Donofrio En Caja 900 g - Caja 900 g,Tottus
Grated de Atún 165 gr,S/  4.70,,Por Tottus,Tottus
ACEITE OLIVA OS  EXTR VIRGEN 200 ML,S/  18.90,,OLIVOS DEL SUR,Tottus
Pasta de trigo Nicolini tallarín grueso bolsa de 950 g,S/  5.90,,ACEITE OLIVA OS  EXTR VIRGEN 200 ML,Tottus
Vinagre de manzana 500 mL,S/  11.10,,Por Tottus,Tottus
Syrup de Caramelo Hersheys 623 g,S/  24.90,,NICOLINI,Tottus
Fideos Spaghetti Molitalia de 950 g,S/  6.50,,Pasta de trigo Nicolini tallarín grueso bolsa de 950 g,Tottus
Panetón de la marca Bimbo en caja de 900 g,S/  28,,Por Tottus,Tottus
Pasta Linguini Don Vittorio de 450 g,S/  4.70,,,Tottus
Mayonesa Alacena 190 g,S/  9.90,,Vinagre de manzana 500 mL,Tottus
Chuño Bolsa de 180 g,S/  3.60,,Por Tottus,Tottus
Sal de Maras Fina Tottus Orígenes Doypack 600 g,S/  9.90,,HERSHEYS,Tottus
Arroz Extra Gran Chalán de 5 Kg,S/  23.60,,Syrup de Caramelo Hersheys 623 g,Tottus
Filete de atún real en agua light de 80 g,S/  12.40,,Por Tottus,Tottus
Vinagre de Manzana Tottus 1 Lt,S/  13.90,,TOTTUS,Tottus
Duraznos en almíbar,S/  9.90,17%,Vinagre de Manzana Tottus 1 Lt,Tottus
Turrón Doña Pepa Tottus 50 gr,S/  3.10,,Por Tottus,Tottus
Turrón Doña Pepa de 1 kg,S/  21.90,,ARICA,Tottus
Ají Pollero Casa Verde,S/  4.40,,Duraznos en almíbar,Tottus
Salsa BBQ picante,S/  9.90,,Por Tottus,Tottus
Aceite de Girasol Orgánico Refinado Tottus Premium 750 mL,S/  26.60,,TOTTUS,Tottus
Tuco Sibarita Tallarines 50.4 g,S/  4.40,,Turrón Doña Pepa Tottus 50 gr,Tottus
Aceite Oleico en Botella de 946 mL,S/  39.90,,Por Tottus,Tottus
