Lista de Productos,Precios,Descuento,Marca,Supermercado
Cocina Coldex CX751 FG125I48SC 5 Quemadores Plateado,"S/1,859.00",15 %,Coldex,Metro
Thomas Licuadora 1000W TH-840D 10 Velocidades,S/. 549.00,38 %,Thomas,Metro
Cocina Indurama Montecarlo Zafiro 5 Quemadores Croma,"S/1,799.00",32 %,Indurama,Metro
Refrigerador Top Freezer Mabe 250L RMA255FYPL Total Fresh Flow Platinum,"S/1,349.00",38 %,Mabe,Metro
Cocina Bosch PRO445 IX HSG14I30SC 4 Quemadores Plateado,"S/1,359.00",15 %,Bosch,Metro
Imaco Waflera WM4150,S/199.00,0,Imaco,Metro
Lavadora Samsung WA15T5260BW 15kg Wobble,"S/1,599.00",13 %,Samsung,Metro
Imaco Olla Arrocera RC15N 1.5 Lt,S/109.00,15 %,Imaco,Metro
Trozos De Atún En Aceite Vegetal Metro Lata 170 g,S/3.76,20 %,Metro,Metro
Aceite de Soya Sao 900ml,S/8.30,9 %,Sao,Metro
Arroz Extra Costeño 5kg,S/. 22.90,11 %,Costeño,Metro
Aceite Vegetal Primor Premium 900ml,S/11.50,4 %,Primor,Metro
Sixpack Galletas Soda Field 32g,S/2.56,20 %,Field,Metro
Fideo Spaghetti Don Vittorio 950g,S/6.00,11 %,Don Vittorio,Metro
Arroz Extra Metro bolsa 5 kg,S/. 17.99,6 %,Metro,Metro
Trozos de Atún en Aceite Primor 140g,S/5.99,0,Primor,Metro
Sal de Mesa Marina Emsal Bolsa 1 kg,S/1.90,13 %,Emsal,Metro
Mayonesa AlaCena 850g,S/14.90,20 %,AlaCena,Metro
Galletas San Jorge Soda Pack 7un,S/3.30,19 %,San Jorge,Metro
Aceite Vegetal Primor Clásico 900ml,S/10.10,12 %,Primor,Metro
Tripack Menestras Máxima 500g: Arveja Partida + Lenteja + Frejol Canario,S/12.90,12 %,Máxima,Metro
Fideo Tallarín Nicolini 950g,S/5.90,0,Nicolini,Metro
Fideo Spaghetti Nicolini 950g,S/5.90,0,Nicolini,Metro
Filete de Atún en Aceite Florida 140g,S/6.00,7 %,Florida,Metro
Sixpack Galletas Coronita con Crema de Chocolate 36g,S/3.84,20 %,Field,Metro
Pastina Tornillo Don Vittorio 500g,S/4.20,0,Don Vittorio,Metro
Maíz Pop Corn Cuisine & Co 500g,S/3.44,20 %,Cuisine & Co,Metro
Arveja Cuisine & Co 500g,S/2.80,20 %,Cuisine & Co,Metro
Lenteja Cuisine & Co 500g,S/3.91,20 %,Cuisine & Co,Metro
Lenteja Bebé Cuisine & Co Bolsa 500 gr,S/4.08,20 %,Cuisine & Co,Metro
Aceite Vegetal Máxima 900ml,S/7.90,0,Máxima,Metro
Arroz Superior Metro Bolsa 5 kg,S/. 17.50,3%,Metro,Metro
Gelatina Universal de Fresa Sobre 130g,S/3.75,0,Universal,Metro
Salsa Roja Completa Don Vittorio 400g,S/6.90,0,Don Vittorio,Metro
Salsa de Tomate Pomarola 145g,S/2.10,0,Molitalia,Metro
Sal de Cocina Marina Emsal Bolsa 1 kg,S/1.90,13 %,Emsal,Metro
Pack x6 Galleta Pícaras La Clásica 40g,S/4.70,4 %,Picaras,Metro
Galletas Sabor Vainilla Field Paquete 37 g Pack 6 unid,S/4.08,20 %,Field,Metro
Sixpack Galletas Margarita 46.5g,S/4.50,0,Sayón,Metro
Sixpack Galletas Morochas 30g,S/. 4.90,10 %,Nestlé,Metro
Cabello de Ángel Don Vittorio 250g,S/2.45,0,Don Vittorio,Metro
Concentrado en Polvo Doña Gusta Sabor Gallina 6un,S/1.70,0,Doña Gusta,Metro
Maíz Pop Corn Costeño Bolsa 500 g,S/3.68,20 %,Costeño,Metro
Arroz Gran Reserva Extra Valle Norte Bolsa 5 Kg,S/. 22.90,8%,Valle Norte,Metro
Sixpack Galletas Chips Ahoy 37g,S/6.70,0,chips-ahoy,Metro
Fideos Cuisine &Co Cabello de Ángel 250g,S/1.70,5 %,cuisine---co,Metro
Aceite de Girasol Monteagle Botella 900ml,S/9.69,34 %,Monteagle,Metro
Pastina Rigatoni Don Vittorio 235g,S/2.30,0,don-vittorio,Metro
Aceite Vegetal Deleite Premium 900ml,S/8.50,3 %,Deleite,Metro
Harina Preparada Blanca Flor 1kg,S/8.90,7 %,Blanca Flor,Metro
Fideo Linguini Grosso Don Vittorio 950g,S/6.00,11 %,Don Vittorio,Metro
Fideo Spaghetti Don Vittorio 450g,S/4.00,13 %,Don Vittorio,Metro
Twelvepack Galletas Oreo Original 36g,S/7.36,20 %,Oreo,Metro
Saborizante Sabor Esencia de Vainilla Umsha 90ml,S/2.20,0,Umsha,Metro
Pasta Corta Macarrón Bolsa 500 g,S/3.30,0,Molitalia,Metro
Pasta Corta Tornillo Bolsa 500 g,S/3.30,0,Molitalia,Metro
Pasta de Tomate Cuisine & Co Doypack 100 g,S/1.56,20 %,Cuisine & Co,Metro
Arroz Extra Natural Gran Chalan Bolsa 5 kg,S/. 21.70,3 %,Gran Chalan,Metro
Filete de Atún en Agua Florida 140g,S/6.00,7 %,Florida,Metro
