Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
pack aceite vegetal primor clásico botella 900ml x 2un,S/ 23.20,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/26739950-220-220/K0000007872.jpg?v=638225335410100000,[CLS] pack aceite vegetal primo ##r clásico bot ##ella 900 ##ml x 2 ##un [SEP]
aceite vegetal primor premium botella 900ml,S/ 23.20,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/20372490-220-220/20281564.jpg?v=638023231386830000,[CLS] aceite vegetal primo ##r premiu ##m bot ##ella 900 ##ml [SEP]
galletas de soda san jorge paquete 7un,S/ 23.20,, SAN JORGE ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/25835356-220-220/502139.jpg?v=638132704405000000,[CLS] gall ##etas de so ##da san jo ##rge pa ##quet ##e 7 ##un [SEP]
pack aceite vegetal primor premium 900ml botella 2un + mayonesa alacena doypack 475g,S/ 11.39,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/26374980-220-220/K0000007499.jpg?v=638203304427000000,[CLS] pack aceite vegetal primo ##r premiu ##m 900 ##ml bot ##ella 2 ##un + mayo ##nesa ala ##cena do ##y ##pac ##k 475 ##g [SEP]
azúcar rubia bell's bolsa 4kg,S/ 11.39,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/20330646-220-220/20283297.jpg?v=638022583011100000,[CLS] az ##úcar ru ##bia bell ' s bol ##sa 4 ##kg [SEP]
filete de atún primor en aceite vegetal lata 140g,S/ 11.39,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/19913605-220-220/20314529.jpg?v=638016540225400000,[CLS] file ##te de at ##ún primo ##r en aceite vegetal lata 140 ##g [SEP]
galletas soda field bolsa 6un,S/ 3.20,, FIELD ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382626-220-220/20282832.jpg?v=637970179203600000,[CLS] gall ##etas so ##da field bol ##sa 6 ##un [SEP]
aceite de soya sao botella 900ml,S/ 3.20,, SAO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382489-220-220/20281565.jpg?v=637970176298900000,[CLS] aceite de soy ##a sao bot ##ella 900 ##ml [SEP]
aceite vegetal primor clásico botella 900ml,S/ 3.20,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382487-220-220/20281566.jpg?v=637970176237330000,[CLS] aceite vegetal primo ##r clásico bot ##ella 900 ##ml [SEP]
fideo spaghetti don vittorio bolsa 950g,S/ 39.20,, DON VITTORIO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/10051149-220-220/20277768.jpg?v=637859400617670000,[CLS] fi ##deo sp ##agh ##etti don vit ##torio bol ##sa 950 ##g [SEP]
