Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
aceite vegetal primor premium botella 900ml,S/ 11.50,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/20372490-220-220/20281564.jpg?v=638023231386830000,aceit vegetal primor premium botell 900ml
galletas de soda san jorge paquete 7un,S/ 11.50,, SAN JORGE ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/25835356-220-220/502139.jpg?v=638132704405000000,gallet sod san jorg paquet 7un
azúcar rubia bell's bolsa 4kg,S/ 11.50,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/20330646-220-220/20283297.jpg?v=638022583011100000,azuc rubi bell 's bols 4kg
filete de atún primor en aceite vegetal lata 140g,S/ 3.20,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/19913605-220-220/20314529.jpg?v=638016540225400000,filet atun primor aceit vegetal lat 140g
galletas soda field bolsa 6un,S/ 3.20,, FIELD ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382626-220-220/20282832.jpg?v=637970179203600000,gallet sod field bols 6un
aceite de soya sao botella 900ml,S/ 3.20,, SAO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382489-220-220/20281565.jpg?v=637970176298900000,aceit soy sao botell 900ml
aceite vegetal primor clásico botella 900ml,S/ 16.70,, PRIMOR ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/16382487-220-220/20281566.jpg?v=637970176237330000,aceit vegetal primor clasic botell 900ml
fideo spaghetti don vittorio bolsa 950g,S/ 16.70,, DON VITTORIO ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/10051149-220-220/20277768.jpg?v=637859400617670000,fide spaghetti don vittori bols 950g
filete de atún bell's en aceite paquete 6un,S/ 16.70,, BELL'S ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/10256380-220-220/20145956.jpg?v=637862427212970000,filet atun bell 's aceit paquet 6un
arroz extra añejo faraon naranja bolsa 5kg,S/ 5.90,, FARAON ,Plaza Vea,https://plazavea.vteximg.com.br/arquivos/ids/21216691-220-220/20139617.jpg?v=638034912871130000,arroz extra añej faraon naranj bols 5kg
