Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster
aceite vegetal primor premium botella 900ml,S/ 11.50,, PRIMOR ,Plaza Vea,aceit vegetal primor premium botell 900ml,4
galletas de soda san jorge paquete 7un,S/ 11.50,, SAN JORGE ,Plaza Vea,gallet sod san jorg paquet 7un,5
azúcar rubia bell's bolsa 4kg,S/ 11.50,, BELL'S ,Plaza Vea,azuc rubi bell 's bols 4kg,0
filete de atún primor en aceite vegetal lata 140g,S/ 3.20,, PRIMOR ,Plaza Vea,filet atun primor aceit vegetal lat 140g,8
galletas soda field bolsa 6un,S/ 3.20,, FIELD ,Plaza Vea,gallet sod field bols 6un,5
aceite de soya sao botella 900ml,S/ 3.20,, SAO ,Plaza Vea,aceit soy sao botell 900ml,4
aceite vegetal primor clásico botella 900ml,S/ 16.70,, PRIMOR ,Plaza Vea,aceit vegetal primor clasic botell 900ml,4
fideo spaghetti don vittorio bolsa 950g,S/ 16.70,, DON VITTORIO ,Plaza Vea,fide spaghetti don vittori bols 950g,0
filete de atún bell's en aceite paquete 6un,S/ 16.70,, BELL'S ,Plaza Vea,filet atun bell 's aceit paquet 6un,8
arroz extra añejo faraon naranja bolsa 5kg,S/ 5.90,, FARAON ,Plaza Vea,arroz extra añej faraon naranj bols 5kg,6
galleta vainilla field paquete 6un,S/ 5.90,, NABISCO ,Plaza Vea,gallet vainill field paquet 6un,5
arroz extra costeño bolsa 5kg,S/ 5.90,, COSTEÑO ,Plaza Vea,arroz extra costeñ bols 5kg,6
aceite vegetal bell's botella 900ml,S/ 3.10,, BELL'S ,Plaza Vea,aceit vegetal bell 's botell 900ml,4
pack papas lays clásicas bolsa 150g + piqueo snax bolsa 200g,S/ 3.10,, LAY'S ,Plaza Vea,pack pap lays clasic bols 150g + pique snax bols 200g,0
mayonesa alacena doypack 850g,S/ 3.10,, ALACENA ,Plaza Vea,mayones alacen doypack 850g,7
filete de atún bell's en agua paquete 6un,S/ 8.30,, BELL'S ,Plaza Vea,filet atun bell 's agu paquet 6un,8
lentejas bell's bolsa 500g,S/ 8.30,, BELL'S ,Plaza Vea,lentej bell 's bols 500g,3
lenteja bebé bell's bolsa 500g,S/ 8.30,, BELL'S ,Plaza Vea,lentej beb bell 's bols 500g,3
arverja partida bell's bolsa 500g,S/ 10.10,, BELL'S ,Plaza Vea,arverj part bell 's bols 500g,3
azúcar rubia cartavio bolsa 5kg,S/ 10.10,, CARTAVIO ,Plaza Vea,azuc rubi cartavi bols 5kg,0
arroz extra tottus de 5 kg,S/  18.50,,TOTTUS,Tottus,arroz extra tottus 5 kg,6
arroz país extra 5kg,S/  20.90,,Arroz Extra Tottus de 5 kg,Tottus,arroz pais extra 5kg,6
aceite de soya precio uno de 900 ml,S/  7.40,,Por Tottus,Tottus,aceit soy preci 900 ml,4
fideos spaghetti tottus 1 kg,S/  5,7%,PAISANA,Tottus,fide spaghetti tottus 1 kg,0
trozos de atún en aceite vegetal campomar de 150 g,S/  6.10,,Arroz País Extra 5KG,Tottus,troz atun aceit vegetal campom 150 g,8
mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/  3.50,,Por Tottus,Tottus,mezcl aderez polv poll bras 45 g,0
aceite vegetal primor premium de 900 ml,S/  10.70,12%,PRECIO UNO,Tottus,aceit vegetal primor premium 900 ml,4
fideos don vittorio spaghetti 950 g,S/  6.80,,Aceite de soya precio uno de 900 mL,Tottus,fide don vittori spaghetti 950 g,0
trozos de atún en aceite,S/  13.20,,Por Tottus,Tottus,troz atun aceit,8
pack menestras tottus: lenteja 500 gr + arveja 500 gr + frijol canario 500 gr - pack 3 un,S/  14.50,,TOTTUS,Tottus,pack menestr tottus : lentej 500 gr + arvej 500 gr + frijol canari 500 gr - pack 3,2
caja aceite vegetal tottus 900ml 12 unidades,S/  93.60,16%,Fideos Spaghetti Tottus 1 kg,Tottus,caj aceit vegetal tottus 900ml 12 unidad,4
six pack trozos de atun en aceite tottus x 170gr,S/  25.90,,Por Tottus,Tottus,six pack troz atun aceit tottus x 170gr,8
filete de atún en agua y sal de 140 g,S/  6.10,16%,FLORIDA,Tottus,filet atun agu sal 140 g,8
lasagna tottus x 250 gr,S/  4.50,,Filete de atún en agua y sal de 140 g,Tottus,lasagn tottus x 250 gr,0
