Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster,Nombre Cluster
aceite vegetal primor premium botella 900ml,S/ 11.50,, PRIMOR ,Plaza Vea,aceit vegetal primor premium botell 900ml,5,"aceit, atun, vegetal"
galletas de soda san jorge paquete 7un,S/ 11.50,, SAN JORGE ,Plaza Vea,gallet sod san jorg paquet 7un,2,"gallet, sixpack, 47g"
azúcar rubia bell's bolsa 4kg,S/ 11.50,, BELL'S ,Plaza Vea,azuc rubi bell 's bols 4kg,0,"sals, bols, chocolat"
filete de atún primor en aceite vegetal lata 140g,S/ 3.20,, PRIMOR ,Plaza Vea,filet atun primor aceit vegetal lat 140g,5,"aceit, atun, vegetal"
galletas soda field bolsa 6un,S/ 3.20,, FIELD ,Plaza Vea,gallet sod field bols 6un,2,"gallet, sixpack, 47g"
aceite de soya sao botella 900ml,S/ 3.20,, SAO ,Plaza Vea,aceit soy sao botell 900ml,5,"aceit, atun, vegetal"
aceite vegetal primor clásico botella 900ml,S/ 16.70,, PRIMOR ,Plaza Vea,aceit vegetal primor clasic botell 900ml,5,"aceit, atun, vegetal"
fideo spaghetti don vittorio bolsa 950g,S/ 16.70,, DON VITTORIO ,Plaza Vea,fide spaghetti don vittori bols 950g,1,"vittori, don, pastin"
filete de atún bell's en aceite paquete 6un,S/ 16.70,, BELL'S ,Plaza Vea,filet atun bell 's aceit paquet 6un,5,"aceit, atun, vegetal"
arroz extra añejo faraon naranja bolsa 5kg,S/ 5.90,, FARAON ,Plaza Vea,arroz extra añej faraon naranj bols 5kg,7,"arroz, kg, extra"
galleta vainilla field paquete 6un,S/ 5.90,, NABISCO ,Plaza Vea,gallet vainill field paquet 6un,2,"gallet, sixpack, 47g"
arroz extra costeño bolsa 5kg,S/ 5.90,, COSTEÑO ,Plaza Vea,arroz extra costeñ bols 5kg,7,"arroz, kg, extra"
aceite vegetal bell's botella 900ml,S/ 3.10,, BELL'S ,Plaza Vea,aceit vegetal bell 's botell 900ml,5,"aceit, atun, vegetal"
pack papas lays clásicas bolsa 150g + piqueo snax bolsa 200g,S/ 3.10,, LAY'S ,Plaza Vea,pack pap lays clasic bols 150g + pique snax bols 200g,8,"200g, past, cuisin"
mayonesa alacena doypack 850g,S/ 3.10,, ALACENA ,Plaza Vea,mayones alacen doypack 850g,0,"sals, bols, chocolat"
filete de atún bell's en agua paquete 6un,S/ 8.30,, BELL'S ,Plaza Vea,filet atun bell 's agu paquet 6un,5,"aceit, atun, vegetal"
lentejas bell's bolsa 500g,S/ 8.30,, BELL'S ,Plaza Vea,lentej bell 's bols 500g,11,"500g, maxim, co"
lenteja bebé bell's bolsa 500g,S/ 8.30,, BELL'S ,Plaza Vea,lentej beb bell 's bols 500g,11,"500g, maxim, co"
arverja partida bell's bolsa 500g,S/ 10.10,, BELL'S ,Plaza Vea,arverj part bell 's bols 500g,11,"500g, maxim, co"
azúcar rubia cartavio bolsa 5kg,S/ 10.10,, CARTAVIO ,Plaza Vea,azuc rubi cartavi bols 5kg,0,"sals, bols, chocolat"
arroz extra tottus de 5 kg,S/  18.50,,TOTTUS,Tottus,arroz extra tottus 5 kg,7,"arroz, kg, extra"
arroz país extra 5kg,S/  20.90,,Arroz Extra Tottus de 5 kg,Tottus,arroz pais extra 5kg,7,"arroz, kg, extra"
aceite de soya precio uno de 900 ml,S/  7.40,,Por Tottus,Tottus,aceit soy preci 900 ml,5,"aceit, atun, vegetal"
fideos spaghetti tottus 1 kg,S/  5,7%,PAISANA,Tottus,fide spaghetti tottus 1 kg,0,"sals, bols, chocolat"
trozos de atún en aceite vegetal campomar de 150 g,S/  6.10,,Arroz País Extra 5KG,Tottus,troz atun aceit vegetal campom 150 g,5,"aceit, atun, vegetal"
mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/  3.50,,Por Tottus,Tottus,mezcl aderez polv poll bras 45 g,0,"sals, bols, chocolat"
aceite vegetal primor premium de 900 ml,S/  10.70,12%,PRECIO UNO,Tottus,aceit vegetal primor premium 900 ml,5,"aceit, atun, vegetal"
fideos don vittorio spaghetti 950 g,S/  6.80,,Aceite de soya precio uno de 900 mL,Tottus,fide don vittori spaghetti 950 g,1,"vittori, don, pastin"
trozos de atún en aceite,S/  13.20,,Por Tottus,Tottus,troz atun aceit,5,"aceit, atun, vegetal"
pack menestras tottus: lenteja 500 gr + arveja 500 gr + frijol canario 500 gr - pack 3 un,S/  14.50,,TOTTUS,Tottus,pack menestr tottus : lentej 500 gr + arvej 500 gr + frijol canari 500 gr - pack 3,3,"500, bols, costeñ"
caja aceite vegetal tottus 900ml 12 unidades,S/  93.60,16%,Fideos Spaghetti Tottus 1 kg,Tottus,caj aceit vegetal tottus 900ml 12 unidad,5,"aceit, atun, vegetal"
six pack trozos de atun en aceite tottus x 170gr,S/  25.90,,Por Tottus,Tottus,six pack troz atun aceit tottus x 170gr,5,"aceit, atun, vegetal"
filete de atún en agua y sal de 140 g,S/  6.10,16%,FLORIDA,Tottus,filet atun agu sal 140 g,5,"aceit, atun, vegetal"
lasagna tottus x 250 gr,S/  4.50,,Filete de atún en agua y sal de 140 g,Tottus,lasagn tottus x 250 gr,0,"sals, bols, chocolat"
fideo tallarín de 500 g,S/  3.70,7%,Por Tottus,Tottus,fide tallarin 500 g,3,"500, bols, costeñ"
panetón donofrio en caja 900 g - caja 900 g,S/  27.90,13%,TOTTUS,Tottus,paneton donofri caj 900 g - caj 900 g,0,"sals, bols, chocolat"
mayonesa alacena 850 gr,S/  18.70,,LASAGNA TOTTUS X 250 GR,Tottus,mayones alacen 850 gr,0,"sals, bols, chocolat"
mezcla para torta de chocolate katzel de 510 g,S/  14.50,,Por Tottus,Tottus,mezcl tort chocolat katzel 510 g,0,"sals, bols, chocolat"
pre-mezcla de panqueques con chispas de sabor a chocolate,S/  6.90,,MOLITALIA,Tottus,pre-mezcl panquequ chisp sabor chocolat,9,"sabor, instantane, sop"
filetes de atún tottus en agua 170 g,S/  4.60,,Fideo tallarín de 500 g,Tottus,filet atun tottus agu 170 g,5,"aceit, atun, vegetal"
duraznos tottus en mitades 820 g,S/  8.40,27%,Por Tottus,Tottus,durazn tottus mitad 820 g,0,"sals, bols, chocolat"
caja de 6 panetones donofrio en bolsa 900 g,S/  174,,D'ONOFRIO,Tottus,caj 6 paneton donofri bols 900 g,0,"sals, bols, chocolat"
syrup hersheys chocolate x 680 gr,S/  20.90,,Panetón Donofrio En Caja 900 g - Caja 900 g,Tottus,syrup hersheys chocolat x 680 gr,0,"sals, bols, chocolat"
grated de atún 165 gr,S/  4.70,,Por Tottus,Tottus,grat atun 165 gr,0,"sals, bols, chocolat"
aceite oliva os  extr virgen 200 ml,S/  18.90,,OLIVOS DEL SUR,Tottus,aceit oliv extr virg 200 ml,5,"aceit, atun, vegetal"
pasta de trigo nicolini tallarín grueso bolsa de 950 g,S/  5.90,,ACEITE OLIVA OS  EXTR VIRGEN 200 ML,Tottus,past trig nicolini tallarin grues bols 950 g,8,"200g, past, cuisin"
vinagre de manzana 500 ml,S/  11.10,,Por Tottus,Tottus,vinagr manzan 500 ml,3,"500, bols, costeñ"
syrup de caramelo hersheys 623 g,S/  24.90,,NICOLINI,Tottus,syrup caramel hersheys 623 g,0,"sals, bols, chocolat"
fideos spaghetti molitalia de 950 g,S/  6.50,,Pasta de trigo Nicolini tallarín grueso bolsa de 950 g,Tottus,fide spaghetti molitali 950 g,0,"sals, bols, chocolat"
panetón de la marca bimbo en caja de 900 g,S/  28,,Por Tottus,Tottus,paneton marc bimb caj 900 g,0,"sals, bols, chocolat"
pasta linguini don vittorio de 450 g,S/  4.70,,,Tottus,past linguini don vittori 450 g,1,"vittori, don, pastin"
mayonesa alacena 190 g,S/  9.90,,Vinagre de manzana 500 mL,Tottus,mayones alacen 190 g,0,"sals, bols, chocolat"
chuño bolsa de 180 g,S/  3.60,,Por Tottus,Tottus,chuñ bols 180 g,0,"sals, bols, chocolat"
sal de maras fina tottus orígenes doypack 600 g,S/  9.90,,HERSHEYS,Tottus,sal mar fin tottus origen doypack 600 g,0,"sals, bols, chocolat"
arroz extra gran chalán de 5 kg,S/  23.60,,Syrup de Caramelo Hersheys 623 g,Tottus,arroz extra gran chalan 5 kg,7,"arroz, kg, extra"
filete de atún real en agua light de 80 g,S/  12.40,,Por Tottus,Tottus,filet atun real agu light 80 g,5,"aceit, atun, vegetal"
vinagre de manzana tottus 1 lt,S/  13.90,,TOTTUS,Tottus,vinagr manzan tottus 1 lt,0,"sals, bols, chocolat"
duraznos en almíbar,S/  9.90,17%,Vinagre de Manzana Tottus 1 Lt,Tottus,durazn almib,0,"sals, bols, chocolat"
turrón doña pepa tottus 50 gr,S/  3.10,,Por Tottus,Tottus,turron doñ pep tottus 50 gr,0,"sals, bols, chocolat"
turrón doña pepa de 1 kg,S/  21.90,,ARICA,Tottus,turron doñ pep 1 kg,0,"sals, bols, chocolat"
ají pollero casa verde,S/  4.40,,Duraznos en almíbar,Tottus,aji poller cas verd,0,"sals, bols, chocolat"
salsa bbq picante,S/  9.90,,Por Tottus,Tottus,sals bbq picant,0,"sals, bols, chocolat"
aceite de girasol orgánico refinado tottus premium 750 ml,S/  26.60,,TOTTUS,Tottus,aceit girasol organ refin tottus premium 750 ml,5,"aceit, atun, vegetal"
tuco sibarita tallarines 50.4 g,S/  4.40,,Turrón Doña Pepa Tottus 50 gr,Tottus,tuc sibarit tallarin 50.4 g,4,"sibarit, mol, sazon"
aceite oleico en botella de 946 ml,S/  39.90,,Por Tottus,Tottus,aceit oleic botell 946 ml,5,"aceit, atun, vegetal"
arroz gourmet extra añejo gran chalán de 5 kg,S/  24.70,,TOTTUS,Tottus,arroz gourmet extra añej gran chalan 5 kg,7,"arroz, kg, extra"
lentejas tottus 500 g,S/  4.30,,Turrón Doña Pepa de 1 kg,Tottus,lentej tottus 500 g,3,"500, bols, costeñ"
pulpa final de tomate tottus x 400 g,S/  4.90,,Por Tottus,Tottus,pulp final tomat tottus x 400 g,0,"sals, bols, chocolat"
mayonesa tottus de 950 g,S/  13.90,,TOTTUS,Tottus,mayones tottus 950 g,0,"sals, bols, chocolat"
mazamorra de maíz morado 140 g,S/  4,,Mayonesa Tottus de 950 g,Tottus,mazamorr maiz mor 140 g,0,"sals, bols, chocolat"
harina sin preparar,S/  6.90,,Por Tottus,Tottus,harin prepar,0,"sals, bols, chocolat"
doypack dulce de leche gloria 200 g,S/  4.20,,ROYAL,Tottus,doypack dulc lech glori 200 g,0,"sals, bols, chocolat"
salsa de soya shoyu kikko de 350 ml,S/  7.30,,Mazamorra de Maíz Morado 140 g,Tottus,sals soy shoyu kikk 350 ml,0,"sals, bols, chocolat"
semillas de calabaza amaru superfoods 200 g,S/  13.50,16%,Por Tottus,Tottus,semill calabaz amaru superfoods 200 g,0,"sals, bols, chocolat"
bimbolete sabor vainilla bimbo 3 unidades,S/  3.10,16%,MOLITALIA,Tottus,bimbolet sabor vainill bimb 3 unidad,9,"sabor, instantane, sop"
lomo de atun en aceite vegetal campomar x 150gr,S/  5.80,8%,Harina sin preparar,Tottus,lom atun aceit vegetal campom x 150gr,5,"aceit, atun, vegetal"
paneton todinno 900g+todinnito 85g c/fruta conf,S/  26.90,13%,Por Tottus,Tottus,paneton todinn 900g+todinnit 85g c/frut conf,0,"sals, bols, chocolat"
sazonador 6 unidades,S/  2,,GLORIA,Tottus,sazon 6 unidad,4,"sibarit, mol, sazon"
arroz superior tottus 750 g,S/  3.40,,Doypack Dulce de Leche Gloria 200 g,Tottus,arroz superior tottus 750 g,7,"arroz, kg, extra"
leche condensada nestlé 393 g,S/  7.50,,Por Tottus,Tottus,lech condens nestl 393 g,0,"sals, bols, chocolat"
pimienta 100% pura sibarita 21.6 g,S/  3.40,,SIBARITA,Tottus,pimient 100 % pur sibarit 21.6 g,4,"sibarit, mol, sazon"
aceite de oliva orgánico garcía de la cruz 500 ml,S/  38.90,,Pimienta 100% Pura Sibarita 21.6 g,Tottus,aceit oliv organ garc cruz 500 ml,5,"aceit, atun, vegetal"
pinguino marinela 80 g,S/  3.50,,Por Tottus,Tottus,pinguin marinel 80 g,0,"sals, bols, chocolat"
fideos rigatoni don vittorio 500 g,S/  4.40,,GARCIA DE LA CRUZ,Tottus,fide rigatoni don vittori 500 g,1,"vittori, don, pastin"
fideos spaghetti agnesi 1 kg,S/  22.50,,Aceite de Oliva Orgánico García de la Cruz 500 mL,Tottus,fide spaghetti agnesi 1 kg,0,"sals, bols, chocolat"
caldo de gallina doña gusta ajinomoto - 6 unidades,S/  1.70,,Por Tottus,Tottus,cald gallin doñ gust ajinomot - 6 unidad,0,"sals, bols, chocolat"
comino sibarita 216 g,S/  4,,MARINELA,Tottus,comin sibarit 216 g,4,"sibarit, mol, sazon"
flan sabor a chocolate de 150 g,S/  4.50,,Pinguino Marinela 80 g,Tottus,flan sabor chocolat 150 g,9,"sabor, instantane, sop"
fideos de trigo codo rayado don vittorio 500 g,S/  4.40,,Por Tottus,Tottus,fide trig cod ray don vittori 500 g,1,"vittori, don, pastin"
sal de maras gruesa con hierbas mediterráneas tottus 90 gr,S/  9.90,,DON VITTORIO,Tottus,sal mar grues hierb mediterran tottus 90 gr,0,"sals, bols, chocolat"
fideos rigatoni nicolini de 250 g,S/  1.90,,Fideos Rigatoni Don Vittorio 500 g,Tottus,fide rigatoni nicolini 250 g,0,"sals, bols, chocolat"
vinagre blanco tottus x 1 l,S/  3.60,,Por Tottus,Tottus,vinagr blanc tottus x 1 l,0,"sals, bols, chocolat"
palillo molido tottus 20 g,S/  2.10,,TOTTUS,Tottus,palill mol tottus 20 g,4,"sibarit, mol, sazon"
fideo canuto rayado tottus 250 g,S/  1.80,,Palillo molido Tottus 20 g,Tottus,fide canut ray tottus 250 g,0,"sals, bols, chocolat"
fideos trigano espagueti con vegetales américa orgánica 227 g,S/  17.30,,Por Tottus,Tottus,fide trigan espagueti vegetal amer organ 227 g,0,"sals, bols, chocolat"
lenteja - bolsa 1 kg,S/  8.30,,TOTTUS,Tottus,lentej - bols 1 kg,7,"arroz, kg, extra"
filete de atún artesanal campomar de 100 g,S/  7.50,,Fideo Canuto Rayado Tottus 250 g,Tottus,filet atun artesanal campom 100 g,5,"aceit, atun, vegetal"
crema de almendras castañas y cacao wasi organics de 250 g,S/  34.50,,Por Tottus,Tottus,crem almendr castañ caca wasi organics 250 g,0,"sals, bols, chocolat"
keke familiar naranja bimbo 380 g,S/  9.90,,AMERICA ORGANICA,Tottus,kek famili naranj bimb 380 g,0,"sals, bols, chocolat"
arroz parboilizado costeño 750 g,S/  5.50,,Fideos Trigano Espagueti con Vegetales América Orgánica 227 g,Tottus,arroz parboiliz costeñ 750 g,7,"arroz, kg, extra"
maicena universal 180gr,S/  2.90,,Por Tottus,Tottus,maicen universal 180gr,0,"sals, bols, chocolat"
sólido de atún en aceite de 170 g,S/  5.80,,TOTTUS,Tottus,sol atun aceit 170 g,5,"aceit, atun, vegetal"
sal light biosal 125g,S/  4.10,,Lenteja - Bolsa 1 kg,Tottus,sal light biosal 125g,0,"sals, bols, chocolat"
conserva de frijoles negros en salmuera 400 g,S/  3.90,,Por Tottus,Tottus,conserv frijol negr salmuer 400 g,0,"sals, bols, chocolat"
mezcla para keke de vainilla de 510 g,S/  12.90,,KATZEL,Tottus,mezcl kek vainill 510 g,0,"sals, bols, chocolat"
